trabdes,%trabajo relacionado
IES BAJO CINCA,100.0000
IES VIRGEN DEL PILAR,100.0000
IES TIEMPOS MODERNOS,100.0000
IES MARTÍNEZ VARGAS,100.0000
IES PABLO SERRANO,100.0000
IES DAMIÁN FORMENT,100.0000
IES PEDRO CERRADA,100.0000
IES PILAR LORENGAR,100.0000
CPIFP BAJO ARAGÓN,100.0000
IES HERMANOS ARGENSOLA,100.0000
IES CABAÑAS,100.0000
CPIFP SAN LORENZO,100.0000
IES CINCO VILLAS,100.0000
CPIFP MONTEARAGÓN,100.0000
IES LUIS BUÑUEL,100.0000
IES EMILIO JIMENO,100.0000
IES FERNANDO LÁZARO CARRETER,100.0000
O. D. SANTO DOMINGO DE SILOS,86.6667
IES SIERRA DE GUARA,80.0000
CPIFP CORONA DE ARAGÓN,77.7778
IES SIGLO XXI,75.0000
IES MIRALBUENO,75.0000
IES SANTA EMERENCIANA,50.0000
IES SANTIAGO HERNÁNDEZ,50.0000
IES BIELLO ARAGON,50.0000
IES JOAQUIN COSTA,50.0000
CPIFP LOS ENLACES,50.0000
IES JOSÉ MANUEL BLECUA,50.0000
IES ITACA,50.0000
IES MIGUEL CATALÁN,45.8333
IES VEGA DEL TURIA,45.4545
IES PABLO SERRANO,41.6667
IES LEONARDO DE CHABACIER,37.5000
IES GALLICUM,33.3333
IES ANDALAN,33.3333
CPIFP MOVERA,33.3333
IES RÍO GALLEGO,16.6667
IES AVEMPACE,
IES RÍO ARBA,
IES PEDRO DE LUNA,
IES SIERRA DE LA VIRGEN,
IES SIERRA SAN QUÍLEZ,
IES RAMÓN Y CAJAL,
IES MIGUEL DE MOLINOS,
IES MARÍA MOLINER,
