trabdes,%desempleo,%trabaja
IES PABLO SERRANO,3.5714,96.4286
IES PABLO SERRANO,3.5714,96.4286
IES MIRALBUENO,4.0000,96.0000
IES SANTIAGO HERNÁNDEZ,4.0816,95.9184
IES MARTÍNEZ VARGAS,5.7143,94.2857
IES CINCO VILLAS,6.8966,93.1034
CPIFP MOVERA,7.1429,92.8571
CES SALESIANO NTRA. SRA. DEL PILAR,9.8592,90.1408
CPIFP LOS ENLACES,10.8696,89.1304
IES ITACA,11.1111,88.8889
IES SIERRA DE GUARA,11.1111,88.8889
CPIFP BAJO ARAGÓN,11.1111,88.8889
IES TIEMPOS MODERNOS,11.5385,88.4615
IES MAR DE ARAGÓN,12.5000,87.5000
CPIFP CORONA DE ARAGÓN,12.9630,87.0370
IES PILAR LORENGAR,14.2857,85.7143
IES BIELLO ARAGON,14.2857,85.7143
IES REYES CATOLICOS,14.2857,85.7143
O. D. SANTO DOMINGO DE SILOS,16.1765,83.8235
IES PABLO SERRANO,16.6667,83.3333
IES HERMANOS ARGENSOLA,16.6667,83.3333
IES DAMIÁN FORMENT,16.6667,83.3333
IES PABLO SERRANO,16.6667,83.3333
IES SIERRA SAN QUÍLEZ,16.6667,83.3333
IES ANDALAN,16.6667,83.3333
IES MIGUEL CATALÁN,18.1818,81.8182
IES VEGA DEL TURIA,18.5185,81.4815
IES RÍO GALLEGO,19.2308,80.7692
IES PEDRO CERRADA,19.2308,80.7692
IES MOR DE FUENTES,20.0000,80.0000
IES SANTA EMERENCIANA,20.0000,80.0000
IES LUIS BUÑUEL,20.5128,79.4872
IES PIRINEOS,22.2222,77.7778
IES EMILIO JIMENO,22.2222,77.7778
IES MARÍA MOLINER,25.0000,75.0000
IES GALLICUM,25.0000,75.0000
CPIFP PIRÁMIDE,27.7778,72.2222
IES AVEMPACE,29.7297,70.2703
IES RÍO ARBA,40.0000,60.0000
IES PABLO GARGALLO,50.0000,50.0000
IES SIGLO XXI,50.0000,50.0000
CPC PADRE ENRIQUE DE OSSÓ,,
CPIFP MONTEARAGÓN,,
IES RAMÓN Y CAJAL,,
CPIFP SAN LORENZO,,
IES LA LLITERA,,
IES SALVADOR VICTORIA,,
IES MATARRAÑA,,
IES BAJO ARAGÓN,,
IES LEONARDO DE CHABACIER,,
IES JOAQUIN COSTA,,
IES BENJAMIN JARNES,,
IES CABAÑAS,,
IES ÁNGEL SANZ BRIZ,,
IES SAN ALBERTO MAGNO,,
IES BAJO CINCA,,
IES JOSÉ MANUEL BLECUA,,
IES VIRGEN DEL PILAR,,
CPC ALAUN,,
