trabdes,%desempleo,%trabaja
Administración y Gestión ,16.5803,83.4197
Agraria,11.1111,88.8889
Artes Gráficas ,14.2857,85.7143
Comercio y Marketing,10.4167,89.5833
Edificación y Obra Civil,33.3333,66.6667
Electricidad y Electrónica ,9.3750,90.6250
Energía y Agua,0.0000,100.0000
Fabricación Mecánica ,7.8947,92.1053
Hostelería y Turismo ,0.0000,100.0000
Imagen Personal,3.9216,96.0784
Imagen y Sonido ,9.0909,90.9091
Industrias Alimentarias ,5.2632,94.7368
Informática y Comunicaciones,9.5890,90.4110
Instalación y Mantenimiento ,13.5135,86.4865
Madera Mueble y Corcho ,50.0000,50.0000
Química,28.0000,72.0000
Sanidad,17.0886,82.9114
Seguridad y Medio Ambiente,3.0303,96.9697
Servicios Socioculturales y a la Comunidad ,24.6479,75.3521
Textil Confección y Piel,50.0000,50.0000
Transporte y Mantenimiento de Vehículos ,10.7143,89.2857
