trabdes,%trabajo relacionado
Energía y Agua,100.0000
Textil Confección y Piel,100.0000
Edificación y Obra Civil,100.0000
Artes Gráficas ,94.4444
Química,94.4444
Instalación y Mantenimiento ,90.6250
Fabricación Mecánica ,88.5714
Seguridad y Medio Ambiente,87.5000
Electricidad y Electrónica ,86.2069
Transporte y Mantenimiento de Vehículos ,84.0000
Agraria,83.3333
Hostelería y Turismo ,81.2500
Informática y Comunicaciones,77.2727
Industrias Alimentarias ,66.6667
Imagen Personal,65.3061
Comercio y Marketing,65.1163
Administración y Gestión ,64.5963
Imagen y Sonido ,60.0000
Sanidad,49.6183
Servicios Socioculturales y a la Comunidad ,45.7944
