trabdes,%desempleo,%trabaja
IES RÍO GALLEGO,3.7975,96.2025
CPIFP LOS ENLACES,4.0816,95.9184
CES SALESIANO NTRA. SRA. DEL PILAR,4.2857,95.7143
CPIFP MONTEARAGÓN,6.5217,93.4783
CPC ESC. PIAS STA. ENGRACIA,7.1429,92.8571
CES SAN VALERO,8.7500,91.2500
IES TUBALCAÍN,9.0909,90.9091
CPIFP CORONA DE ARAGÓN,9.2308,90.7692
IES CINCO VILLAS,10.0000,90.0000
IES LA LLITERA,10.0000,90.0000
IES PABLO SERRANO,10.2041,89.7959
IES MARTÍNEZ VARGAS,10.5263,89.4737
IES SIERRA DE GUARA,10.8108,89.1892
IES ZAURÍN,11.1111,88.8889
IES PEDRO CERRADA,11.1111,88.8889
IES ITACA,11.1111,88.8889
CES SANTO DOMINGO SAVIO,11.7647,88.2353
CFPE ACADEMIA MARCO,11.9048,88.0952
IES MARÍA MOLINER,12.5000,87.5000
CPIFP BAJO ARAGÓN,12.9032,87.0968
IES MATARRAÑA,14.2857,85.7143
IES LUIS BUÑUEL,15.1899,84.8101
IFPE ESCUELA DE HOSTELERIA DE TERUEL,15.3846,84.6154
IES SIGLO XXI,15.7895,84.2105
CES MARÍA AUXILIADORA,18.1818,81.8182
IES MIGUEL CATALÁN,18.3099,81.6901
IES PABLO SERRANO,18.5185,81.4815
IES DAMIÁN FORMENT,20.0000,80.0000
SAN JOSE DE CALASANZ,20.0000,80.0000
EFA LA NORIA,22.2222,77.7778
IES PILAR LORENGAR,22.2222,77.7778
CPC COLEGIO MONTESSORI,22.9730,77.0270
IES SANTIAGO HERNÁNDEZ,23.0000,77.0000
IES ANDALAN,23.0769,76.9231
CPIFP PIRÁMIDE,23.0769,76.9231
IES PABLO SERRANO,23.8095,76.1905
CEFP CONDES DE ARAGÓN,25.0000,75.0000
FUNDACIÓN LABORAL DE LA CONSTRUCCIÓN,25.0000,75.0000
IES PIRINEOS,25.0000,75.0000
IES MONEGROS - GASPAR LAX,25.0000,75.0000
IES FRANCÉS DE ARANDA,25.0000,75.0000
O. D. SANTO DOMINGO DE SILOS,25.3333,74.6667
IES TIEMPOS MODERNOS,28.0000,72.0000
IES SIERRA SAN QUÍLEZ,28.5714,71.4286
IES MOR DE FUENTES,28.5714,71.4286
IES MAR DE ARAGÓN,29.4118,70.5882
IES RAMÓN Y CAJAL,30.0000,70.0000
IES VEGA DEL TURIA,30.0000,70.0000
CPIFP SAN BLAS,30.0000,70.0000
IES AVEMPACE,30.6122,69.3878
IES BIELLO ARAGON,31.5789,68.4211
IES JUAN DE LANUZA,33.3333,66.6667
CES SAN VICENTE DE PAÚL,33.3333,66.6667
CPC ALAUN,33.3333,66.6667
IES HERMANOS ARGENSOLA,37.5000,62.5000
IES PABLO SERRANO,38.4615,61.5385
IES LEONARDO DE CHABACIER,50.0000,50.0000
IES BENJAMIN JARNES,50.0000,50.0000
CPC EL BUEN PASTOR,50.0000,50.0000
CPC PLUS ULTRA,50.0000,50.0000
LA PURISIMA NIÑOS SORDOS,50.0000,50.0000
CPA-SALDUIE,65.3846,34.6154
IES EMILIO JIMENO,66.6667,33.3333
ESC ESCUELA DE ARTE,66.6667,33.3333
IES JOSÉ MANUEL BLECUA,,
IES MIRALBUENO,,
CPIFP MOVERA,,
IES PEDRO DE LUNA,,
IES VIRGEN DEL PILAR,,
IES GALLICUM,,
CPC SALES. LAVIAGA CASTILLO,,
CPC PADRE ENRIQUE DE OSSÓ,,
CPIFP SAN LORENZO,,
ESCUELAS PÍAS,,
IES FERNANDO LÁZARO CARRETER,,
IES REYES CATOLICOS,,
IES SIERRA DE LA VIRGEN,,
IES CABAÑAS,,
CFPE ARSENIO JIMENO,,
IES SAN ALBERTO MAGNO,,
IES BAJO CINCA,,
