trabdes,%desempleo,%trabaja
Instalación y Mantenimiento ,2.4390,97.5610
Fabricación Mecánica ,5.1282,94.8718
Comercio y Marketing,5.1282,94.8718
Electricidad y Electrónica ,6.9182,93.0818
Química,7.6923,92.3077
Transporte y Mantenimiento de Vehículos ,9.6491,90.3509
Hostelería y Turismo ,9.8592,90.1408
Textil Confección y Piel,11.1111,88.8889
Seguridad y Medio Ambiente,12.6984,87.3016
Agraria,13.5135,86.4865
Sanidad,15.6000,84.4000
Informática y Comunicaciones,20.0000,80.0000
Artes Gráficas ,22.2222,77.7778
Servicios Socioculturales y a la Comunidad ,23.4234,76.5766
Imagen Personal,23.7500,76.2500
Industrias Extractivas ,25.0000,75.0000
Administración y Gestión ,26.8212,73.1788
Imagen y Sonido ,46.6667,53.3333
Artes y Artesanías ,66.6667,33.3333
Energía y Agua,66.6667,33.3333
Edificación y Obra Civil,,
Industrias Alimentarias ,,
Madera Mueble y Corcho ,,
