trabdes,%trabajo relacionado
Industrias Alimentarias ,100.0000
Industrias Extractivas ,100.0000
Artes y Artesanías ,100.0000
Energía y Agua,100.0000
Informática y Comunicaciones,93.1034
Seguridad y Medio Ambiente,90.9091
Instalación y Mantenimiento ,90.0000
Electricidad y Electrónica ,87.8378
Hostelería y Turismo ,87.5000
Fabricación Mecánica ,86.4865
Artes Gráficas ,85.7143
Transporte y Mantenimiento de Vehículos ,78.6408
Agraria,78.1250
Imagen Personal,77.0492
Edificación y Obra Civil,75.0000
Química,75.0000
Comercio y Marketing,74.3243
Administración y Gestión ,66.9683
Madera Mueble y Corcho ,66.6667
Sanidad,54.5024
Imagen y Sonido ,50.0000
Servicios Socioculturales y a la Comunidad ,49.4118
Textil Confección y Piel,25.0000
