trabdes,%desempleo,%trabaja
Administración y Gestión ,17.1598,82.8402
Agraria,40.0000,60.0000
Artes Gráficas ,28.5714,71.4286
Comercio y Marketing,3.7037,96.2963
Electricidad y Electrónica ,15.7895,84.2105
Energía y Agua,20.0000,80.0000
Fabricación Mecánica ,0.0000,100.0000
Hostelería y Turismo ,0.0000,100.0000
Imagen Personal,8.3333,91.6667
Imagen y Sonido ,0.0000,100.0000
Industrias Alimentarias ,28.5714,71.4286
Industrias Extractivas ,33.3333,66.6667
Informática y Comunicaciones,10.8696,89.1304
Instalación y Mantenimiento ,5.2632,94.7368
Madera Mueble y Corcho ,0.0000,100.0000
Química,11.7647,88.2353
Sanidad,6.2500,93.7500
Seguridad y Medio Ambiente,8.1081,91.8919
Servicios Socioculturales y a la Comunidad ,24.7059,75.2941
Textil Confección y Piel,16.6667,83.3333
Transporte y Mantenimiento de Vehículos ,11.1111,88.8889
