trabdes,%trabajo relacionado
Industrias Extractivas ,100.0000
Energía y Agua,100.0000
Industrias Alimentarias ,100.0000
Hostelería y Turismo ,100.0000
Informática y Comunicaciones,92.6829
Química,86.6667
Artes Gráficas ,80.0000
Transporte y Mantenimiento de Vehículos ,76.7857
Electricidad y Electrónica ,75.0000
Seguridad y Medio Ambiente,73.5294
Imagen Personal,72.7273
Instalación y Mantenimiento ,72.2222
Fabricación Mecánica ,70.5882
Madera Mueble y Corcho ,66.6667
Administración y Gestión ,62.8571
Comercio y Marketing,59.6154
Sanidad,54.5455
Textil Confección y Piel,40.0000
Servicios Socioculturales y a la Comunidad ,34.3750
Agraria,33.3333
Imagen y Sonido ,27.2727
