trabdes,%desempleo,%trabaja
CFPE ACADEMIA MARCO,4.6512,95.3488
IES SANTIAGO HERNÁNDEZ,5.2632,94.7368
IES PABLO SERRANO,5.8824,94.1176
CPIFP CORONA DE ARAGÓN,7.1429,92.8571
CPIFP MONTEARAGÓN,7.6923,92.3077
IES TIEMPOS MODERNOS,7.6923,92.3077
CPIFP BAJO ARAGÓN,8.3333,91.6667
IES MIGUEL CATALÁN,9.3750,90.6250
IES PABLO SERRANO,11.1111,88.8889
IES VEGA DEL TURIA,13.7931,86.2069
IES LUIS BUÑUEL,18.1818,81.8182
EFA LA NORIA,20.0000,80.0000
IES LEONARDO DE CHABACIER,21.4286,78.5714
CES SANTO DOMINGO SAVIO,25.0000,75.0000
CPC COLEGIO MONTESSORI,25.0000,75.0000
IES MARÍA MOLINER,28.5714,71.4286
CES SAN VALERO,29.4118,70.5882
IES PIRINEOS,31.2500,68.7500
CPC PLUS ULTRA,33.3333,66.6667
IES PABLO SERRANO,33.3333,66.6667
O. D. SANTO DOMINGO DE SILOS,36.0000,64.0000
CES MARÍA AUXILIADORA,44.4444,55.5556
IES SIERRA SAN QUÍLEZ,50.0000,50.0000
IES PABLO SERRANO,50.0000,50.0000
IES JUAN DE LANUZA,66.6667,33.3333
CPA-SALDUIE,66.6667,33.3333
CPIFP LOS ENLACES,,
IES MIRALBUENO,,
IES PILAR LORENGAR,,
IES VIRGEN DEL PILAR,,
IES GALLICUM,,
CPC SALES. LAVIAGA CASTILLO,,
CEFP CONDES DE ARAGÓN,,
CPC EL BUEN PASTOR,,
CPC ESC. PIAS STA. ENGRACIA,,
CEFOR IZQUIERDO,,
CES SAN VICENTE DE PAÚL,,
IES RAMÓN Y CAJAL,,
IES SIERRA DE GUARA,,
IES HERMANOS ARGENSOLA,,
IES LA LLITERA,,
IES DAMIÁN FORMENT,,
CPIFP SAN BLAS,,
IES ZAURÍN,,
IES MAR DE ARAGÓN,,
IES CABAÑAS,,
IES SIGLO XXI,,
IES TUBALCAÍN,,
IES PEDRO CERRADA,,
IES ANDALAN,,
CFPE ARSENIO JIMENO,,
