trabdes,%desempleo,%trabaja
Comercio y Marketing,3.7037,96.2963
Química,6.2500,93.7500
Imagen Personal,7.1429,92.8571
Fabricación Mecánica ,7.1429,92.8571
Agraria,8.3333,91.6667
Sanidad,10.9589,89.0411
Administración y Gestión ,16.0000,84.0000
Seguridad y Medio Ambiente,17.6471,82.3529
Electricidad y Electrónica ,22.2222,77.7778
Informática y Comunicaciones,24.4898,75.5102
Imagen y Sonido ,25.0000,75.0000
Transporte y Mantenimiento de Vehículos ,29.4118,70.5882
Hostelería y Turismo ,37.5000,62.5000
Servicios Socioculturales y a la Comunidad ,50.0000,50.0000
Instalación y Mantenimiento ,,
Artes Gráficas ,,
Textil Confección y Piel,,
