trabdes,%trabajo relacionado
Instalación y Mantenimiento ,100.0000
Agraria,90.9091
Fabricación Mecánica ,84.6154
Imagen y Sonido ,83.3333
Química,80.0000
Seguridad y Medio Ambiente,71.4286
Informática y Comunicaciones,70.2703
Sanidad,69.2308
Imagen Personal,61.5385
Hostelería y Turismo ,60.0000
Transporte y Mantenimiento de Vehículos ,58.3333
Comercio y Marketing,57.6923
Administración y Gestión ,46.0317
Electricidad y Electrónica ,35.7143
Textil Confección y Piel,25.0000
Servicios Socioculturales y a la Comunidad ,
Artes Gráficas ,
