cc,MUJERES,HOMBRES
ACA301,1,3
ADG201,997,619
ADG301,751,487
AFD201,26,111
AFD301,50,213
AGA201,11,123
AGA204,15,40
AGA205,11,249
AGA302,34,245
AGA303,18,69
AGA304,28,15
ARG202,16,24
ARG203,19,32
ARG301,22,32
COM201,99,96
COM301,135,118
COM302,80,76
COM303,87,160
COM304,136,140
ELE202,8,404
ELE203,9,276
ELE303,14,274
ELE304,13,144
ENA301,4,20
EOC201,13,12
EOC303,3,12
FME202,6,137
FME203,1,205
FME301,1,72
FME302,5,29
FME304,3,129
FPB101,289,190
FPB102,10,408
FPB103,6,160
FPB104,37,211
FPB105,115,138
FPB106,4,240
FPB107,16,57
FPB108,141,13
FPB109,101,48
FPB110,6,40
FPB112,15,3
FPB115,2,43
FPB116,8,53
FPB117,9,11
FPB119,5,9
FPB121,12,12
FPB124,1,9
HOT201,126,203
HOT203,50,59
HOT301,103,34
HOT302,45,14
HOT303,27,16
HOT304,27,56
HOT305,47,90
IEX201,1,19
IFC201,79,635
IFC301,28,247
IFC302,50,366
IFC303,61,251
IMA201,2,206
IMA202,1,69
IMA301,1,43
IMA302,5,230
IMP202,115,3
IMP203,233,27
IMP301,39,6
IMP302,53,2
IMP303,37,8
IMS202,32,63
IMS301,31,25
IMS302,62,66
IMS303,25,32
IMS304,6,44
IMS305,9,41
INA201,26,21
INA204,6,4
INA207,68,34
INA301,27,31
INA302,12,17
MAM201,3,21
MAM202,2,30
MAM301,3,31
MSP304,17,20
MVA302,1,25
QUI204,4,12
SAN201,748,142
SAN202,281,41
SAN203,165,227
SAN301,42,10
SAN302,32,23
SAN303,69,15
SAN304,178,12
SAN305,43,16
SAN306,173,39
SAN308,28,6
SAN309,42,16
SAN310,18,17
SEA201,3,34
SEA302,3,16
SSC201,635,89
SSC301,47,22
SSC302,599,32
SSC303,258,47
SSC304,51,6
SSC305,47,5
TCP202,25,4
TCP301,45,6
TMV201,1,174
TMV202,8,464
TMV204,2,76
TMV301,4,255
